Gene stable ID	Gene name	Gene type	Gene description
ENSG00000223498	SLC35C2P1	processed_pseudogene	SLC35C2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54894]
ENSG00000185972	CCIN	protein_coding	calicin [Source:HGNC Symbol;Acc:HGNC:1568]
ENSG00000199410	Y_RNA	misc_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000201467		snoRNA	
ENSG00000214322	CBX1P2	processed_pseudogene	chromobox 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38656]
ENSG00000289472		lncRNA	novel transcript, sense intronic to ZFX
ENSG00000207081	RNU6-616P	snRNA	RNA, U6 small nuclear 616, pseudogene [Source:HGNC Symbol;Acc:HGNC:47579]
ENSG00000222760	RNU4-53P	snRNA	RNA, U4 small nuclear 53, pseudogene [Source:HGNC Symbol;Acc:HGNC:46989]
ENSG00000231929	HMGB3P31	processed_pseudogene	high mobility group box 3 pseudogene 31 [Source:HGNC Symbol;Acc:HGNC:39334]
ENSG00000184785	SMIM10	protein_coding	small integral membrane protein 10 [Source:HGNC Symbol;Acc:HGNC:41913]
ENSG00000171169	NAIF1	protein_coding	nuclear apoptosis inducing factor 1 [Source:HGNC Symbol;Acc:HGNC:25446]
ENSG00000224692		processed_pseudogene	guanosine monophosphate reductase (GMPR) pseudogene
ENSG00000261030		lncRNA	novel transcript
ENSG00000287700		lncRNA	novel transcript
ENSG00000252050		snoRNA	
