gene,gene_symbol,gene_biotype,gene_description,log2FoldChange,pvalue,padj
ENSG00000283110.1,ENSG00000283110,processed_pseudogene,kinase suppressor of ras 1 (KSR1) pseudogene,,,
ENSG00000283117.1,MGC4859,lncRNA,uncharacterized LOC79150 [Source:NCBI gene (formerly Entrezgene);Acc:79150],0.3205996913567902,0.7867732160288073,
ENSG00000283118.1,ENSG00000283118,lncRNA,"novel transcript, antisense to ZEB2",3.121566356037869,4.700694469457404e-13,1.84258299537589e-12
ENSG00000283122.1,HYMAI,lncRNA,hydatidiform mole associated and imprinted [Source:HGNC Symbol;Acc:HGNC:5326],0.962019502880731,1.3880484120073266e-06,3.293203463364815e-06
ENSG00000283123.1,RARRES2P11,transcribed_processed_pseudogene,retinoic acid receptor responder 2 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:51743],1.4864515156157387,0.0016234092958642,0.0027874762145267
ENSG00000283125.1,ENSG00000283125,lncRNA,"novel transcript, antisense to BCL2",2.3657776022643233,6.204581959885663e-15,2.7495309362290734e-14
ENSG00000283126.1,MIR1297,miRNA,microRNA 1297 [Source:HGNC Symbol;Acc:HGNC:35289],0.1822451749818944,0.9620750113518312,
ENSG00000283128.2,ENSG00000283128,protein_coding,novel protein,1.8393033992539924,5.5791266508476794e-18,2.9982329266570245e-17
ENSG00000283130.1,ENSG00000283130,processed_pseudogene,mitochondrially encoded NADH dehydrogenase 5 (MT-ND5) pseudogene,0.3207553247652731,0.8253741209082518,
ENSG00000283131.1,MTND2P41,unprocessed_pseudogene,MT-ND2 pseudogene 41 [Source:HGNC Symbol;Acc:HGNC:52317],1.1726441123589215,0.0194128272496942,0.0289749829122714
ENSG00000283132.1,KMT2CP4,transcribed_unprocessed_pseudogene,lysine methyltransferase 2C pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:56182],1.5937659379543825,0.0021415621661003,0.0036222510417651
ENSG00000283133.1,ENSG00000283133,processed_pseudogene,mitochondrially encoded NADH dehydrogenase 4 (MT-ND4) pseudogene,0.403335329565617,0.7094975649838466,
